Name,Txn Name,Money Raised,Announced Date,Location,Industries,Description,Funding Type
Elemental Coatings,Pre Seed Round - Elemental Coatings,"$470,000","Sep 25, 2019","Houston, Texas, United States, North America","Aerospace, Automotive, Chemical, Infrastructure, Manufacturing, Power Grid, Railroad, Wind Energy",Elemental Coatings was founded with one goal in mind: make the many problems associated with ice and scale buildup a thing of the past.,Pre-Seed
Apogee Semiconductor,Venture Round - Apogee Semiconductor,"$468,792","Jul 21, 2022","Plano, Texas, United States, North America","Aerospace, Industrial Manufacturing, Semiconductor",Apogee Semiconductor provides products and technologies for space and other extreme environments.,Venture - Series Unknown
GATE Space,Pre Seed Round - GATE Space,"€450,000","Nov 22, 2022","San Francisco, California, United States, North America",Aerospace,GATE Space is a developer of a technology designed to enable the next generation of space mobility.,Pre-Seed
BosonQ Psi,Seed Round - BosonQ Psi,"$457,000","Apr 30, 2023","New York, New York, United States, North America","Aerospace, Automotive, Quantum Computing, Software",Simulation software startup ​leveraging Quantum computing to accelerate advanced simulations for highly-engineered products.,Seed
Ghost Robotics,Seed Round - Ghost Robotics,"$450,000","Aug 25, 2021","Philadelphia, Pennsylvania, United States, North America","Industrial, Military, Mining, Oil and Gas, Physical Security, Public Safety, Robotics","Robots that Feel the World™ | Quadrupedal Robots (Q-UGV) for Unstructured, Demanding and Continuous-Use Environments",Seed
Urban Sky,Pre Seed Round - Urban Sky,"$450,000","Aug 1, 2019","Denver, Colorado, United States, North America","Aerospace, Geospatial, Mapping Services, Remote Sensing, Smart Cities",Urban Sky offers a revolution in remote sensing through the new stratospheric microballon.,Pre-Seed
Scorpius Space Launch Company,Seed Round - Scorpius Space Launch Company,"$450,000","Nov 17, 2021","Torrance, California, United States, North America","Aerospace, Mechanical Engineering, Transportation",Scorpius Space Launch Company is a private space launch company that provides space launch vehicles and components for space missions.,Seed
TechnoCarbon,Pre Seed Round - TechnoCarbon,"€410,000","Feb 7, 2020","Paris, Ile-de-France, France, Europe","Aerospace, Clean Energy, CleanTech, Construction, GreenTech, Industrial Design, Manufacturing, Marine Technology",TechnoCarbon is a cleantech SAS company.,Pre-Seed
Appjection,Venture Round - Appjection,"€400,000","Apr 7, 2020","Amsterdam, Noord-Holland, The Netherlands, Europe","Law Enforcement, Legal",Appjection provides legal services.,Venture - Series Unknown
Oratto,Pre Seed Round - Oratto,"£350,000","Oct 8, 2019","London, England, United Kingdom, Europe","Advice, Law Enforcement, Legal",Oratto is an online service provider that is focused on connecting individual and business consumers with the appropriate lawyer.,Pre-Seed
Hudson Space Systems,Pre Seed Round - Hudson Space Systems,"$425,000","Jun 1, 2020","Hoboken, New Jersey, United States, North America","Aerospace, Manufacturing, Space Travel",Microgravity as a Service,Pre-Seed
Zulu Pods,Pre Seed Round - Zulu Pods,"$425,000","Jul 12, 2021","Fort Lauderdale, Florida, United States, North America","Aerospace, Air Transportation, Military",Zulu Pods is an aerospace Technology start-up that develops lubrication systems for jet engines.,Pre-Seed
Trumania: Evidence Social Cam App,Pre Seed Round - Trumania: Evidence Social Cam App,"$420,000","Oct 11, 2019","Los Angeles, California, United States, North America","Auto Insurance, Banking, Construction, E-Commerce, Information Technology, Insurance, Law Enforcement, Medical, Property Insurance, SaaS","TimeSTAMPED & independently verifiable PHOTOS and VIDEOS that can be used as an evidence of anything - b2b, b2c, b2b2c - in any industry",Pre-Seed
Aurora Avionics,Pre Seed Round - Aurora Avionics,"£320,000","May 27, 2024","Edinburgh, Edinburgh, City of, United Kingdom, Europe","Aerospace, Robotics",Aerospace Robotics & Controls,Pre-Seed
Precision Aerospace Group,Venture Round - Precision Aerospace Group,"$405,000","Feb 22, 2024","Aventura, Florida, United States, North America",Aerospace,Precision Aerospace Group is an aerspace solutions company.,Venture - Series Unknown
EXOS Aerospace,Seed Round - EXOS Aerospace,"$404,770","Aug 27, 2019","Greenville, Texas, United States, North America","Aerospace, Manufacturing, Space Travel","EXOS is a manufacturing company that specializes in biomedical research, material science, and aerospace engineering.",Seed
AutoNeura,Seed Round - AutoNeura,"£350,000","Nov 1, 2022","Coventry, Coventry, United Kingdom, Europe","Aerospace, Analytics, Automotive, Marine Transportation, Mechanical Engineering, Railroad, Transportation, Web Development",AutoNeura is an early-stage start-up with the vision of improving the connection with physics and engineering through control systems.,Seed
Pitch Aeronautics,Seed Round - Pitch Aeronautics,"$400,002","Oct 10, 2023","Boise, Idaho, United States, North America","Aerospace, Drone Management, Drones","Pitch Aeronautics is an aviation and aerospace tech company that offers drone for installations, maintenance, and up-close inspections.",Seed
IENAI SPACE,Pre Seed Round - IENAI SPACE,"$400,000","Apr 28, 2021","Madrid, Madrid, Spain, Europe","Aerospace, Machinery Manufacturing, Space Travel",IENAI SPACE develops next generation in-space mobility for smallsats: efficient ionic-liquid electric propulsion and mission analysis,Pre-Seed
Ravyn Technology Corporation,Seed Round - Ravyn Technology Corporation,"$400,000","Nov 18, 2019","El Segundo, California, United States, North America","Aerospace, Government, Manufacturing, Military",Ravyn is a manufacturer of defense articles and fieldable weapon systems.,Seed
Zuri,Seed Round - Zuri,"€300,000","Jun 3, 2021","Prague, Hlavni mesto Praha, Czech Republic, Europe","Aerospace, Electronics",Zuri is a company that builds a hybrid-electric VTOL for inter-city travel.,Seed
HyPoint,Pre Seed Round - HyPoint,"$350,000","Dec 22, 2020","Menlo Park, California, United States, North America","Aerospace, Air Transportation, Clean Energy, Electric Vehicle, Fuel Cell",HyPoint is a provider of a hydrogen fuel cell system for air transportation market.,Pre-Seed
HyPoint,Pre Seed Round - HyPoint,"$350,000","Aug 6, 2020","Menlo Park, California, United States, North America","Aerospace, Air Transportation, Clean Energy, Electric Vehicle, Fuel Cell",HyPoint is a provider of a hydrogen fuel cell system for air transportation market.,Pre-Seed
Promin Aerospace,Pre Seed Round - Promin Aerospace,"$350,000","May 14, 2021","Kyiv, Kyyiv, Ukraine, Europe",Aerospace,Promin Aerospace creates an ultra-lightweight launch vehicle capable of deploying payloads into orbit in a revolutionary new way.,Pre-Seed
JetPack Aviation,Venture Round - JetPack Aviation,"$350,000","Jan 1, 2019","Los Angeles, California, United States, North America","Aerospace, Air Transportation, Automotive",JetPack Aviation has created the world's first true jetpack.,Venture - Series Unknown
GoApron,Angel Round - GoApron,"$350,000","Jan 15, 2020","San Diego, California, United States, North America","Aerospace, Software, Travel",Moving airports into the digital era. Modern Apron Software Solutions.,Angel
It's Your Serve,Seed Round - It's Your Serve,"$340,000","Sep 1, 2021","Chicago, Illinois, United States, North America","Law Enforcement, Legal, Security",It's Your Serve is a private detective agency providing process service and skip tracing to lawyers nationwide.,Seed
Indemniza.me,Venture Round - Indemniza.me,"€320,000","Dec 21, 2022","Bilbao, Pais Vasco, Spain, Europe",Law Enforcement,indemniza purpose is to quickly and effectively manage a specialized team to protect consumer rights while avoiding airline abuses.,Venture - Series Unknown
bluShift Aerospace,Equity Crowdfunding - bluShift Aerospace,"$338,697","Sep 13, 2022","Brunswick, Maine, United States, North America","Aerospace, CleanTech, Space Travel",bluShift is a small space launch service that powers it rockets using a CO2-neutral biofuel,Equity Crowdfunding
Nordiq Products AS,Seed Round - Nordiq Products AS,"NOK3,538,063","Apr 17, 2023","Oslo, Oslo, Norway, Europe","Health Diagnostics, Information Technology, Medical, Medical Device, Military","On a mission to help first responders services save more lives, making the most user-friendly and reliable monitoring device.",Seed
Space Resources Laboratory,Pre Seed Round - Space Resources Laboratory,"£251,178","Dec 21, 2021","Cranfield, Bedfordshire, United Kingdom, Europe","Aerospace, Manufacturing, Mechanical Engineering, Space Travel","CubeSat subsystem provider specialising in CubeSat structures, propulsion systems and ADCS",Pre-Seed
Launchspace,Equity Crowdfunding - Launchspace,"$329,254","Sep 8, 2021","Boca Raton, Florida, United States, North America","Aerospace, Space Travel","Launchspace has patented solutions to remove orbital debris that threatens astronauts, satellites and the International Space Station.",Equity Crowdfunding
Xaptum,Seed Round - Xaptum,"$325,000","Mar 23, 2019","Chicago, Illinois, United States, North America","Cyber Security, Homeland Security, Infrastructure, Internet of Things, National Security, Railroad, Transportation, Water","Multi-tenant, future-proof network operator that enables enterprises to seamlessly scale and secure IoT deployments.",Seed
HyPoint,Pre Seed Round - HyPoint,"$320,000","Nov 5, 2019","Menlo Park, California, United States, North America","Aerospace, Air Transportation, Clean Energy, Electric Vehicle, Fuel Cell",HyPoint is a provider of a hydrogen fuel cell system for air transportation market.,Pre-Seed
Internest,Angel Round - Internest,"€280,000","Oct 17, 2019","Paris, Ile-de-France, France, Europe","Aerospace, Industrial, Mechanical Engineering",Internest is a mechanical engineering company that manufactures and supplies a range of aviation products based on ultrasound technology.,Angel
United Western Group,Seed Round - United Western Group,"$310,200","Sep 7, 2023","Washington, District of Columbia, United States, North America","Aerospace, Commercial Real Estate, Military, National Security, Satellite Communication",United Western Group is a private equity firm that invests in strategically viable companies across a wide range of industries.,Seed
Flux Aviation,Pre Seed Round - Flux Aviation,"£250,000","Mar 27, 2023","Warwick, Warwickshire, United Kingdom, Europe","Aerospace, Air Transportation, GreenTech, Manufacturing, Sustainability",Flux Aviation develops and manufactures sustainable powertrains for general aviation operations.,Pre-Seed
Pipeline2Space,Venture Round - Pipeline2Space,"$306,488","Jan 9, 2024","Spokane, Washington, United States, North America","Aerospace, Information Technology, Space Travel",Pipeline2space uses RAM-Accelerator technology to radically change the economics of space exploration.,Venture - Series Unknown
Crayonic,Pre Seed Round - Crayonic,"$300,000","Oct 1, 2019","Eindhoven, Noord-Brabant, The Netherlands, Europe","Health Care, Manufacturing, Military",Secure wearables for critical infrastructure.,Pre-Seed
"Notoros, Inc.","Seed Round - Notoros, Inc.","$300,000","Oct 17, 2022","Saint Louis, Missouri, United States, North America","Blockchain, Consumer Software, Cyber Security, Developer Platform, Developer Tools, Information Technology, National Security, Security, Software, Software Engineering","Zero Trust, Blockchain as a Service, DLT, Developer Platform",Seed
MaiVERIC,Seed Round - MaiVERIC,"$300,000","Jul 1, 2019","San Francisco, California, United States, North America","Analytics, Artificial Intelligence (AI), Big Data, Law Enforcement, Public Safety, Software","At MaiVERIC, we enhance the capabilities of public safety agencies to further protect the communities they serve.",Seed
Skyway,Pre Seed Round - Skyway,"$300,000","Oct 1, 2022","San Rafael, California, United States, North America","Aerospace, Air Transportation, Drone Management, Information Technology, Navigation, Software",Skyway provides ATC & airfield infrastructure for vertiports to support eVTOL aircraft.,Pre-Seed
Space Elements,Angel Round - Space Elements,"$300,000","Sep 8, 2022","Nashville, Tennessee, United States, North America","Aerospace, Satellite Communication, Software",Space Elements is a company that researches and develops space exploration technology.,Angel
Simplesense,Seed Round - Simplesense,"$299,100","Dec 28, 2020","Brooklyn, New York, United States, North America","Cyber Security, National Security, Public Safety, Security, Software",Rapidly authorize and deploy proven cybersecurity solutions for Industrial Control Systems (ICS) / Operational Technology (OT),Seed
HopFlyt,Seed Round - HopFlyt,"$292,700","Oct 26, 2020","Lusby, Maryland, United States, North America","3D Printing, Aerospace, Innovation Management",HopFlyt develops aviation technologies that save people time in urban commutes.,Seed
KinectAir,Equity Crowdfunding - KinectAir,"$282,113","Sep 22, 2020","Vancouver, Washington, United States, North America","Aerospace, Air Transportation, Software, Travel",KinectAir is opening the skies. Enabling affordable privately-owned aircraft to be booked from smartphones using local community airports.,Equity Crowdfunding
Spike Dynamics,Seed Round - Spike Dynamics,"$280,000","Aug 15, 2023","San Francisco, California, United States, North America","Aerospace, Hardware, Medical, Robotics","Artificial Muscles for Aerospace, Robotics, MedTech. Small, lightweight, fast, radhard, -100C - +150C, excellent NASA review.",Seed
Kall Morris Inc,Pre Seed Round - Kall Morris Inc,"$279,000","Jul 30, 2021","Marquette, Michigan, United States, North America","Aerospace, Artificial Intelligence (AI), Logistics, Machine Learning, Robotics","KMI is a space solutions company developing hardware and software technologies to rendezvous, retrieve, and relocate Resident Space Objects.",Pre-Seed
Panhwar Jet,Seed Round - Panhwar Jet,"$275,000","Jul 21, 2023","Woods Cross, Utah, United States, North America","Aerospace, Air Transportation, Electric Vehicle","Panhwar Jet is developing the world’s first all-electric, long-range business and cargo aircraft, which can fly up to 6 hours.",Seed
Portside,Seed Round - Portside,"PLN1,000,000","Jun 1, 2021","San Francisco, California, United States, North America","Aerospace, Air Transportation, Analytics, Software, Transportation","Portside is an aircraft data, reporting, and analytics platform for individual and corporate plane owners.",Seed
SmallSpark Space Systems,Pre Seed Round - SmallSpark Space Systems,"£200,000","Jan 1, 2021","Cardiff, Cardiff, United Kingdom, Europe",Aerospace,SmallSpark Space Systems develop hybrid engine launch vehicle technology to drive the price of access to space to be low enough for anyone.,Pre-Seed
UAVLAS,Pre Seed Round - UAVLAS,"PLN1,000,000","Aug 18, 2020","Warsaw, Mazowieckie, Poland, Europe","Aerospace, Delivery, Drone Management, Drones",UNMANNED AERIAL VEHICLES LANDING ASSISTANCE SYSTEMS,Pre-Seed
EyeGage,Pre Seed Round - EyeGage,"$260,000","Sep 21, 2021","Atlanta, Georgia, United States, North America","Artificial Intelligence (AI), Computer Vision, Construction, Insurance, Law Enforcement, Mobile Apps, Software, Transportation","Data-driven drug screening tech, powered by eyes.",Pre-Seed
Nordiq Products AS,Seed Round - Nordiq Products AS,"NOK2,715,748","Oct 21, 2022","Oslo, Oslo, Norway, Europe","Health Diagnostics, Information Technology, Medical, Medical Device, Military","On a mission to help first responders services save more lives, making the most user-friendly and reliable monitoring device.",Seed
ZEVA AERO,Seed Round - ZEVA AERO,"$255,000","Oct 2, 2019","Tacoma, Washington, United States, North America","Aerospace, Consumer Goods, Drones, Logistics, Transportation",ZEVA designs and builds electric aircraft for mission critical travel.,Seed
NUTS Technologies Inc.,Seed Round - NUTS Technologies Inc.,"$250,000","Aug 20, 2022","Glencoe, Illinois, United States, North America","Cyber Security, Government, Information Technology, IT Infrastructure, Military",Prevent Insider Threats: Protect National Security,Seed
Aerial Vantage,Seed Round - Aerial Vantage,"$250,000","Sep 13, 2022","East Lansing, Michigan, United States, North America","Aerospace, Agriculture, AgTech, Analytics, Drones, Geospatial, Intelligent Systems, SaaS, Software",Aerial Vantage is an artificial intelligence and computer vision software company focused on the agricultural supply chain and government.,Seed
HyPoint,Series A - HyPoint,"$250,000","Feb 7, 2022","Menlo Park, California, United States, North America","Aerospace, Air Transportation, Clean Energy, Electric Vehicle, Fuel Cell",HyPoint is a provider of a hydrogen fuel cell system for air transportation market.,Series A
Fundream,Pre Seed Round - Fundream,"$250,000","Dec 20, 2022","Lecce, Puglia, Italy, Europe","Aerospace, Air Transportation, Management Consulting, Tour Operator",Aviation consulting services,Pre-Seed
OrbitsEdge,Seed Round - OrbitsEdge,"$250,000","Dec 13, 2021","Cocoa Beach, Florida, United States, North America","Aerospace, Analytics, Commercial, Data Center",OrbitsEdge provides the first commercial access to datacenter-grade computing and analytics in orbit.,Seed
Shuttle,Seed Round - Shuttle,"$250,000","Nov 1, 2021","San Francisco, California, United States, North America","Aerospace, Space Travel",Shuttle is an outer space travel company that offers a commercial spaceflight booking platform.,Seed
Jetoptera,Series A - Jetoptera,"$250,000","Jan 28, 2022","Edmonds, Washington, United States, North America","Aerospace, Manufacturing",Jetoptera is an aviation startup developing powerful UAVs and realistic flying cars to revolutionize the way they transport products.,Series A
GenX Aerospace,Seed Round - GenX Aerospace,"$250,000","Aug 30, 2021","London, England, United Kingdom, Europe","Aerospace, Internet of Things, Manufacturing, Software",GenX Aerospace builds innovative products in aviation/aerospace.,Seed
MOHOC,Venture Round - MOHOC,"$250,000","Apr 28, 2020","Seattle, Washington, United States, North America","Law Enforcement, Military, Video, Video Streaming",MOHOC is a defense company that offers POV helmet cameras optimized for military and tactical operators.,Venture - Series Unknown
Fourel Aviation Solutions Inc.,Pre Seed Round - Fourel Aviation Solutions Inc.,"$250,000","May 11, 2023","Valencia, Comunidad Valenciana, Spain, Europe","Aerospace, E-Commerce Platforms, Information Technology, Software",Web-based software for business aviation & charter brokers,Pre-Seed
Evolution Space,Seed Round - Evolution Space,"$250,000","Feb 15, 2020","Mojave, California, United States, North America","Aerospace, Air Transportation","Solid, simple propulsion and launch for the next generation of space and defense technology.",Seed
Evolution Space,Seed Round - Evolution Space,"$250,000","Jul 19, 2019","Mojave, California, United States, North America","Aerospace, Air Transportation","Solid, simple propulsion and launch for the next generation of space and defense technology.",Seed
Kray Technologies,Convertible Note - Kray Technologies,"$250,000","Jan 1, 2020","Novato, California, United States, North America","Aerospace, Agriculture, Drones, Robotics",Kray Protection - the most efficient form of crop protection application. It is industrial productivity drone built by Kray Technologies.,Convertible Note
Valorant Health,Pre Seed Round - Valorant Health,"$245,000","Mar 15, 2021","Berkeley, California, United States, North America","GovTech, Health Care, Home Health Care, Information Technology, mHealth, Military, Software",Next-generation digital health operating system for Rural Care,Pre-Seed
Skycom,Seed Round - Skycom,"$232,608","May 8, 2023","Austin, Texas, United States, North America","Aerospace, Manufacturing, Space Travel",Skycom is a provider of wireless network infrastructure to telecom operators through airships.,Seed
Zuri,Seed Round - Zuri,"€200,000","Apr 11, 2019","Prague, Hlavni mesto Praha, Czech Republic, Europe","Aerospace, Electronics",Zuri is a company that builds a hybrid-electric VTOL for inter-city travel.,Seed
Swiss Security Solutions LLC,Seed Round - Swiss Security Solutions LLC,"$220,000","Apr 1, 2019","Zürich, Zurich, Switzerland, Europe","Cyber Security, Government, Homeland Security, Intrusion Detection, Law Enforcement, Military, National Security, Physical Security, Risk Management, Security","Swiss Security Solutions provides customized security and investigative solutions, services and systems to help, serve, secure and care.",Seed
SFR Medical,Pre Seed Round - SFR Medical,"£164,716","Nov 5, 2019","London, England, United Kingdom, Europe","Compliance, Law Enforcement, Legal, Medical",SFR Medical is a MedTech company that offers high quality medical evidence for the UK law enforcement agencies.,Pre-Seed
Stark Drones Corporation,Seed Round - Stark Drones Corporation,"$211,000","May 31, 2023","Sterling Heights, Michigan, United States, North America","Aerospace, Blockchain, Energy, Energy Storage, Information Technology, Power Grid","Experimental technologies that efficiently updates or replaces current grid, wireless transmission, and energy systems that we use today.",Seed
NaviFly,Pre Seed Round - NaviFly,"CA$280,000","Feb 4, 2020","Dublin, Dublin, Ireland, Europe","Aerospace, Air Transportation, Consumer Goods, Drone Management, Drones, Software, Transportation",Drone software solutions company building unmanned traffic management (UTM) platform.,Pre-Seed
voidsy,Pre Seed Round - voidsy,"€185,000","Apr 1, 2022","Wels, Oberosterreich, Austria, Europe","Advanced Materials, Aerospace, Sensor, Test and Measurement, Usability Testing","voidsy offers smart, compact imaging systems for the non-destructive materials and component testing.",Pre-Seed
ZEVA AERO,Seed Round - ZEVA AERO,"$204,000","Jul 30, 2021","Tacoma, Washington, United States, North America","Aerospace, Consumer Goods, Drones, Logistics, Transportation",ZEVA designs and builds electric aircraft for mission critical travel.,Seed
ForceField IO,Pre Seed Round - ForceField IO,"$200,000","Apr 10, 2023","Red Bank, New Jersey, United States, North America","Cyber Security, Homeland Security, InsurTech, Legal Tech, National Security, Physical Security, Property Insurance, Public Safety, Software","Patent-pending APIs for verification & real-time detection of fraud, spoofing, deepfakes, cyber attacks for any type of streaming media.",Pre-Seed
Evolution Space,Seed Round - Evolution Space,"$200,000","Oct 15, 2019","Mojave, California, United States, North America","Aerospace, Air Transportation","Solid, simple propulsion and launch for the next generation of space and defense technology.",Seed
Space Elements,Angel Round - Space Elements,"$200,000","Oct 5, 2021","Nashville, Tennessee, United States, North America","Aerospace, Satellite Communication, Software",Space Elements is a company that researches and develops space exploration technology.,Angel
Space Crystals LLC,Seed Round - Space Crystals LLC,"$200,000","Oct 1, 2021","Houston, Texas, United States, North America","Aerospace, Jewelry, Training",Space Crystals LLC offers customer a chance to be immortal by sending their DNA infused crystals to the surface of the moon.,Seed
Fermata Discovery,Seed Round - Fermata Discovery,"$200,000","Sep 1, 2019","New York, New York, United States, North America","Law Enforcement, SaaS, Software",Fermata Discovery is a SaaS firm that develops tools to automate and scale routine processes involved with investigative workflows.,Seed
INTERSTELLAR LAB,Pre Seed Round - INTERSTELLAR LAB,"$200,000","Mar 18, 2019","Dover, Delaware, United States, North America","Aerospace, AgTech, Biotechnology, Farming, Natural Resources","Interstellar Lab designs, manufactures and operates biofarming platform to unleash the power of plants. On Earth and in Space.",Pre-Seed
Evolution Space,Seed Round - Evolution Space,"$200,000","Sep 15, 2020","Mojave, California, United States, North America","Aerospace, Air Transportation","Solid, simple propulsion and launch for the next generation of space and defense technology.",Seed
New Frontier Aerospace,Pre Seed Round - New Frontier Aerospace,"$200,000","Mar 7, 2022","Tukwila, Washington, United States, North America",Aerospace,NFA builds renewably fueled hypersonic vertical landing aircraft so people and cargo can travel anywhere on the planet faster and cleaner.,Pre-Seed
Space Elements,Seed Round - Space Elements,"$200,000","Mar 3, 2021","Nashville, Tennessee, United States, North America","Aerospace, Satellite Communication, Software",Space Elements is a company that researches and develops space exploration technology.,Seed
ForceField IO,Angel Round - ForceField IO,"$200,000","Jan 1, 2022","Red Bank, New Jersey, United States, North America","Cyber Security, Homeland Security, InsurTech, Legal Tech, National Security, Physical Security, Property Insurance, Public Safety, Software","Patent-pending APIs for verification & real-time detection of fraud, spoofing, deepfakes, cyber attacks for any type of streaming media.",Angel
Arcana Recovery,Pre Seed Round - Arcana Recovery,"$200,000","May 1, 2022","Harrisburg, Pennsylvania, United States, North America","Health Care, mHealth, Military, Mobile Apps, Predictive Analytics",Arcana Recovery is a substance abuse recovery management system that optimizes workflow to deliver better quality of care.,Pre-Seed
SpaceX,Venture Round - SpaceX,"$1,724,965,480","May 24, 2022","Hawthorne, California, United States, North America","Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation",SpaceX is an aviation and aerospace company that focuses on reducing the costs associated with space travel by using reusable rockets.,Venture - Series Unknown
Anduril Industries,Series E - Anduril Industries,"$1,480,000,000","Dec 2, 2022","Costa Mesa, California, United States, North America","Aerospace, Government, Military, National Security",Anduril Industries is a defense product company that builds technology for military agencies and border surveillance.,Series E
Sierra Space,Series A - Sierra Space,"$1,400,000,000","Nov 19, 2021","Louisville, Colorado, United States, North America","Advanced Materials, Aerospace, Industrial Manufacturing, Space Travel, Transportation",Sierra Space is a commercial space company that specializes in the development of advanced space technologies and solutions.,Series A
OneWeb,Venture Round - OneWeb,"$1,250,000,000","Mar 18, 2019","London, England, United Kingdom, Europe","Aerospace, Internet, Satellite Communication, Telecommunications","OneWeb is building a space-based communications network that delivers high-speed, low-latency internet access.",Venture - Series Unknown
SpaceX,Venture Round - SpaceX,"$850,000,000","Feb 16, 2021","Hawthorne, California, United States, North America","Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation",SpaceX is an aviation and aerospace company that focuses on reducing the costs associated with space travel by using reusable rockets.,Venture - Series Unknown
Relativity Space,Series E - Relativity Space,"$650,000,000","Jun 8, 2021","Long Beach, California, United States, North America","3D Technology, Aerospace, Artificial Intelligence (AI), Manufacturing","Relativity Space is an aerospace company that designs, develops, and builds 3D printed rockets.",Series E
OneWeb,Corporate Round - OneWeb,"$550,000,000","Apr 27, 2021","London, England, United Kingdom, Europe","Aerospace, Internet, Satellite Communication, Telecommunications","OneWeb is building a space-based communications network that delivers high-speed, low-latency internet access.",Corporate Round
SpaceX,Venture Round - SpaceX,"$535,744,188","May 24, 2019","Hawthorne, California, United States, North America","Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation",SpaceX is an aviation and aerospace company that focuses on reducing the costs associated with space travel by using reusable rockets.,Venture - Series Unknown
Relativity Space,Series D - Relativity Space,"$500,000,000","Nov 17, 2020","Long Beach, California, United States, North America","3D Technology, Aerospace, Artificial Intelligence (AI), Manufacturing","Relativity Space is an aerospace company that designs, develops, and builds 3D printed rockets.",Series D
OneWeb,Corporate Round - OneWeb,"$500,000,000","Jun 29, 2021","London, England, United Kingdom, Europe","Aerospace, Internet, Satellite Communication, Telecommunications","OneWeb is building a space-based communications network that delivers high-speed, low-latency internet access.",Corporate Round
Anduril Industries,Series D - Anduril Industries,"$450,000,000","Jun 17, 2021","Costa Mesa, California, United States, North America","Aerospace, Government, Military, National Security",Anduril Industries is a defense product company that builds technology for military agencies and border surveillance.,Series D
Wisk Aero,Corporate Round - Wisk Aero,"$450,000,000","Jan 24, 2022","Mountain View, California, United States, North America","Aerospace, Air Transportation, Sustainability, Transportation, Travel",Wisk is an urban air-mobility company on a mission to leave traffic on the ground and make sustainable flight a reality for everyday life.,Corporate Round
OneWeb,Venture Round - OneWeb,"$400,000,000","Jan 15, 2021","London, England, United Kingdom, Europe","Aerospace, Internet, Satellite Communication, Telecommunications","OneWeb is building a space-based communications network that delivers high-speed, low-latency internet access.",Venture - Series Unknown
Beta Technologies,Series B - Beta Technologies,"$375,000,000","Apr 20, 2022","South Burlington, Vermont, United States, North America","Aerospace, Air Transportation, CleanTech, Manufacturing",Beta Technologies manufactures electric vertical takeoff and landing (eVTOL) aircraft and recharging pad systems.,Series B
Beta Technologies,Series A - Beta Technologies,"$368,000,000","May 18, 2021","South Burlington, Vermont, United States, North America","Aerospace, Air Transportation, CleanTech, Manufacturing",Beta Technologies manufactures electric vertical takeoff and landing (eVTOL) aircraft and recharging pad systems.,Series A
Axiom Space,Series C - Axiom Space,"$350,000,000","Aug 21, 2023","Houston, Texas, United States, North America","Advanced Materials, Aerospace, Industrial Manufacturing, Space Travel",Axiom Space is a commercial space station company that connects to the ISS.,Series C
SpaceX,Venture Round - SpaceX,"$346,200,000","May 26, 2020","Hawthorne, California, United States, North America","Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation",SpaceX is an aviation and aerospace company that focuses on reducing the costs associated with space travel by using reusable rockets.,Venture - Series Unknown
SpaceX,Venture Round - SpaceX,"$337,355,200","Dec 30, 2021","Hawthorne, California, United States, North America","Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation",SpaceX is an aviation and aerospace company that focuses on reducing the costs associated with space travel by using reusable rockets.,Venture - Series Unknown
SpaceX,Venture Round - SpaceX,"$314,000,000","Apr 14, 2021","Hawthorne, California, United States, North America","Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation",SpaceX is an aviation and aerospace company that focuses on reducing the costs associated with space travel by using reusable rockets.,Venture - Series Unknown
Shield AI,Series F - Shield AI,"$300,000,000","Oct 31, 2023","San Diego, California, United States, North America","Artificial Intelligence (AI), Autonomous Vehicles, Drones, Machine Learning, National Security",Shield AI is an artificial intelligence company that aims to protect service members and civilians with intelligent systems.,Series F
Firefly Aerospace,Series C - Firefly Aerospace,"$300,000,000","Nov 10, 2023","Cedar Park, Texas, United States, North America","Aerospace, Air Transportation, Satellite Communication","Firefly Aerospace provides launch vehicles, spacecraft, and in-space services for small payloads.",Series C
OneWeb,Corporate Round - OneWeb,"$300,000,000","Aug 12, 2021","London, England, United Kingdom, Europe","Aerospace, Internet, Satellite Communication, Telecommunications","OneWeb is building a space-based communications network that delivers high-speed, low-latency internet access.",Corporate Round
Sierra Space,Series B - Sierra Space,"$290,000,000","Sep 26, 2023","Louisville, Colorado, United States, North America","Advanced Materials, Aerospace, Industrial Manufacturing, Space Travel, Transportation",Sierra Space is a commercial space company that specializes in the development of advanced space technologies and solutions.,Series B
Astranis,Series C - Astranis,"$250,000,000","Apr 14, 2021","San Francisco, California, United States, North America","Aerospace, Internet, Satellite Communication, Telecommunications",Astranis is a space startup that builds small and low-cost telecommunications satellites to provide internet access in remote regions.,Series C
SpaceX,Private Equity Round - SpaceX,"$250,000,000","Jul 15, 2022","Hawthorne, California, United States, North America","Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation",SpaceX is an aviation and aerospace company that focuses on reducing the costs associated with space travel by using reusable rockets.,Private Equity
