"Notes","MMWR Week","MMWR Week Code","UCD - ICD Sub-Chapter","UCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate
,"2019 Week 13 ending March 30, 2019","2019/13","Malignant neoplasms","C00-C97",11437,Not Applicable,Not Applicable
,"2019 Week 14 ending April 06, 2019","2019/14","Malignant neoplasms","C00-C97",11458,Not Applicable,Not Applicable
,"2019 Week 15 ending April 13, 2019","2019/15","Malignant neoplasms","C00-C97",11306,Not Applicable,Not Applicable
,"2019 Week 16 ending April 20, 2019","2019/16","Malignant neoplasms","C00-C97",11237,Not Applicable,Not Applicable
,"2019 Week 17 ending April 27, 2019","2019/17","Malignant neoplasms","C00-C97",11187,Not Applicable,Not Applicable
,"2019 Week 18 ending May 04, 2019","2019/18","Malignant neoplasms","C00-C97",11334,Not Applicable,Not Applicable
,"2019 Week 19 ending May 11, 2019","2019/19","Malignant neoplasms","C00-C97",11347,Not Applicable,Not Applicable
,"2019 Week 20 ending May 18, 2019","2019/20","Malignant neoplasms","C00-C97",11513,Not Applicable,Not Applicable
,"2019 Week 21 ending May 25, 2019","2019/21","Malignant neoplasms","C00-C97",11634,Not Applicable,Not Applicable
,"2019 Week 22 ending June 01, 2019","2019/22","Malignant neoplasms","C00-C97",11283,Not Applicable,Not Applicable
,"2019 Week 23 ending June 08, 2019","2019/23","Malignant neoplasms","C00-C97",11205,Not Applicable,Not Applicable
,"2019 Week 24 ending June 15, 2019","2019/24","Malignant neoplasms","C00-C97",11471,Not Applicable,Not Applicable
,"2019 Week 25 ending June 22, 2019","2019/25","Malignant neoplasms","C00-C97",11329,Not Applicable,Not Applicable
,"2019 Week 26 ending June 29, 2019","2019/26","Malignant neoplasms","C00-C97",11420,Not Applicable,Not Applicable
,"2019 Week 27 ending July 06, 2019","2019/27","Malignant neoplasms","C00-C97",11183,Not Applicable,Not Applicable
,"2019 Week 28 ending July 13, 2019","2019/28","Malignant neoplasms","C00-C97",11360,Not Applicable,Not Applicable
,"2019 Week 29 ending July 20, 2019","2019/29","Malignant neoplasms","C00-C97",11290,Not Applicable,Not Applicable
,"2019 Week 30 ending July 27, 2019","2019/30","Malignant neoplasms","C00-C97",11377,Not Applicable,Not Applicable
,"2019 Week 31 ending August 03, 2019","2019/31","Malignant neoplasms","C00-C97",11422,Not Applicable,Not Applicable
,"2019 Week 32 ending August 10, 2019","2019/32","Malignant neoplasms","C00-C97",11336,Not Applicable,Not Applicable
,"2019 Week 33 ending August 17, 2019","2019/33","Malignant neoplasms","C00-C97",11345,Not Applicable,Not Applicable
,"2019 Week 34 ending August 24, 2019","2019/34","Malignant neoplasms","C00-C97",11429,Not Applicable,Not Applicable
,"2019 Week 35 ending August 31, 2019","2019/35","Malignant neoplasms","C00-C97",11413,Not Applicable,Not Applicable
,"2019 Week 36 ending September 07, 2019","2019/36","Malignant neoplasms","C00-C97",11384,Not Applicable,Not Applicable
,"2019 Week 37 ending September 14, 2019","2019/37","Malignant neoplasms","C00-C97",11409,Not Applicable,Not Applicable
,"2019 Week 38 ending September 21, 2019","2019/38","Malignant neoplasms","C00-C97",11276,Not Applicable,Not Applicable
,"2019 Week 39 ending September 28, 2019","2019/39","Malignant neoplasms","C00-C97",11676,Not Applicable,Not Applicable
,"2019 Week 40 ending October 05, 2019","2019/40","Malignant neoplasms","C00-C97",11446,Not Applicable,Not Applicable
,"2019 Week 41 ending October 12, 2019","2019/41","Malignant neoplasms","C00-C97",11631,Not Applicable,Not Applicable
,"2019 Week 42 ending October 19, 2019","2019/42","Malignant neoplasms","C00-C97",11686,Not Applicable,Not Applicable
,"2019 Week 43 ending October 26, 2019","2019/43","Malignant neoplasms","C00-C97",11644,Not Applicable,Not Applicable
,"2019 Week 44 ending November 02, 2019","2019/44","Malignant neoplasms","C00-C97",11591,Not Applicable,Not Applicable
,"2019 Week 45 ending November 09, 2019","2019/45","Malignant neoplasms","C00-C97",11807,Not Applicable,Not Applicable
,"2019 Week 46 ending November 16, 2019","2019/46","Malignant neoplasms","C00-C97",11636,Not Applicable,Not Applicable
,"2019 Week 47 ending November 23, 2019","2019/47","Malignant neoplasms","C00-C97",11641,Not Applicable,Not Applicable
,"2019 Week 48 ending November 30, 2019","2019/48","Malignant neoplasms","C00-C97",11316,Not Applicable,Not Applicable
,"2019 Week 49 ending December 07, 2019","2019/49","Malignant neoplasms","C00-C97",11448,Not Applicable,Not Applicable
,"2019 Week 50 ending December 14, 2019","2019/50","Malignant neoplasms","C00-C97",11571,Not Applicable,Not Applicable
,"2019 Week 51 ending December 21, 2019","2019/51","Malignant neoplasms","C00-C97",11633,Not Applicable,Not Applicable
,"2019 Week 52 ending December 28, 2019","2019/52","Malignant neoplasms","C00-C97",11472,Not Applicable,Not Applicable
,"2020 Week 01 ending January 04, 2020","2020/01","Malignant neoplasms","C00-C97",11560,Not Applicable,Not Applicable
,"2020 Week 02 ending January 11, 2020","2020/02","Malignant neoplasms","C00-C97",11939,Not Applicable,Not Applicable
,"2020 Week 03 ending January 18, 2020","2020/03","Malignant neoplasms","C00-C97",11684,Not Applicable,Not Applicable
,"2020 Week 04 ending January 25, 2020","2020/04","Malignant neoplasms","C00-C97",11855,Not Applicable,Not Applicable
,"2020 Week 05 ending February 01, 2020","2020/05","Malignant neoplasms","C00-C97",11937,Not Applicable,Not Applicable
,"2020 Week 06 ending February 08, 2020","2020/06","Malignant neoplasms","C00-C97",11694,Not Applicable,Not Applicable
,"2020 Week 07 ending February 15, 2020","2020/07","Malignant neoplasms","C00-C97",11789,Not Applicable,Not Applicable
,"2020 Week 08 ending February 22, 2020","2020/08","Malignant neoplasms","C00-C97",11768,Not Applicable,Not Applicable
,"2020 Week 09 ending February 29, 2020","2020/09","Malignant neoplasms","C00-C97",11770,Not Applicable,Not Applicable
,"2020 Week 10 ending March 07, 2020","2020/10","Malignant neoplasms","C00-C97",11688,Not Applicable,Not Applicable
,"2020 Week 11 ending March 14, 2020","2020/11","Malignant neoplasms","C00-C97",11552,Not Applicable,Not Applicable
,"2020 Week 12 ending March 21, 2020","2020/12","Malignant neoplasms","C00-C97",11718,Not Applicable,Not Applicable
,"2020 Week 13 ending March 28, 2020","2020/13","Malignant neoplasms","C00-C97",11758,Not Applicable,Not Applicable
,"2020 Week 14 ending April 04, 2020","2020/14","Malignant neoplasms","C00-C97",11574,Not Applicable,Not Applicable
,"2020 Week 15 ending April 11, 2020","2020/15","Malignant neoplasms","C00-C97",11532,Not Applicable,Not Applicable
,"2020 Week 16 ending April 18, 2020","2020/16","Malignant neoplasms","C00-C97",11199,Not Applicable,Not Applicable
,"2020 Week 17 ending April 25, 2020","2020/17","Malignant neoplasms","C00-C97",11348,Not Applicable,Not Applicable
,"2020 Week 18 ending May 02, 2020","2020/18","Malignant neoplasms","C00-C97",11082,Not Applicable,Not Applicable
,"2020 Week 19 ending May 09, 2020","2020/19","Malignant neoplasms","C00-C97",11000,Not Applicable,Not Applicable
,"2020 Week 20 ending May 16, 2020","2020/20","Malignant neoplasms","C00-C97",11260,Not Applicable,Not Applicable
,"2020 Week 21 ending May 23, 2020","2020/21","Malignant neoplasms","C00-C97",11101,Not Applicable,Not Applicable
,"2020 Week 22 ending May 30, 2020","2020/22","Malignant neoplasms","C00-C97",10891,Not Applicable,Not Applicable
,"2020 Week 23 ending June 06, 2020","2020/23","Malignant neoplasms","C00-C97",11069,Not Applicable,Not Applicable
,"2020 Week 24 ending June 13, 2020","2020/24","Malignant neoplasms","C00-C97",11117,Not Applicable,Not Applicable
,"2020 Week 25 ending June 20, 2020","2020/25","Malignant neoplasms","C00-C97",11147,Not Applicable,Not Applicable
,"2020 Week 26 ending June 27, 2020","2020/26","Malignant neoplasms","C00-C97",11344,Not Applicable,Not Applicable
,"2020 Week 27 ending July 04, 2020","2020/27","Malignant neoplasms","C00-C97",11283,Not Applicable,Not Applicable
,"2020 Week 28 ending July 11, 2020","2020/28","Malignant neoplasms","C00-C97",11319,Not Applicable,Not Applicable
,"2020 Week 29 ending July 18, 2020","2020/29","Malignant neoplasms","C00-C97",11354,Not Applicable,Not Applicable
,"2020 Week 30 ending July 25, 2020","2020/30","Malignant neoplasms","C00-C97",11547,Not Applicable,Not Applicable
,"2020 Week 31 ending August 01, 2020","2020/31","Malignant neoplasms","C00-C97",11499,Not Applicable,Not Applicable
,"2020 Week 32 ending August 08, 2020","2020/32","Malignant neoplasms","C00-C97",11513,Not Applicable,Not Applicable
,"2020 Week 33 ending August 15, 2020","2020/33","Malignant neoplasms","C00-C97",11694,Not Applicable,Not Applicable
,"2020 Week 34 ending August 22, 2020","2020/34","Malignant neoplasms","C00-C97",11508,Not Applicable,Not Applicable
,"2020 Week 35 ending August 29, 2020","2020/35","Malignant neoplasms","C00-C97",11561,Not Applicable,Not Applicable
,"2020 Week 36 ending September 05, 2020","2020/36","Malignant neoplasms","C00-C97",11363,Not Applicable,Not Applicable
,"2020 Week 37 ending September 12, 2020","2020/37","Malignant neoplasms","C00-C97",11460,Not Applicable,Not Applicable
,"2020 Week 38 ending September 19, 2020","2020/38","Malignant neoplasms","C00-C97",11609,Not Applicable,Not Applicable
,"2020 Week 39 ending September 26, 2020","2020/39","Malignant neoplasms","C00-C97",11858,Not Applicable,Not Applicable
,"2020 Week 40 ending October 03, 2020","2020/40","Malignant neoplasms","C00-C97",11412,Not Applicable,Not Applicable
,"2020 Week 41 ending October 10, 2020","2020/41","Malignant neoplasms","C00-C97",11814,Not Applicable,Not Applicable
,"2020 Week 42 ending October 17, 2020","2020/42","Malignant neoplasms","C00-C97",11304,Not Applicable,Not Applicable
,"2020 Week 43 ending October 24, 2020","2020/43","Malignant neoplasms","C00-C97",11666,Not Applicable,Not Applicable
,"2020 Week 44 ending October 31, 2020","2020/44","Malignant neoplasms","C00-C97",11513,Not Applicable,Not Applicable
,"2020 Week 45 ending November 07, 2020","2020/45","Malignant neoplasms","C00-C97",11795,Not Applicable,Not Applicable
,"2020 Week 46 ending November 14, 2020","2020/46","Malignant neoplasms","C00-C97",11739,Not Applicable,Not Applicable
,"2020 Week 47 ending November 21, 2020","2020/47","Malignant neoplasms","C00-C97",11608,Not Applicable,Not Applicable
,"2020 Week 48 ending November 28, 2020","2020/48","Malignant neoplasms","C00-C97",11380,Not Applicable,Not Applicable
,"2020 Week 49 ending December 05, 2020","2020/49","Malignant neoplasms","C00-C97",11341,Not Applicable,Not Applicable
,"2020 Week 50 ending December 12, 2020","2020/50","Malignant neoplasms","C00-C97",11888,Not Applicable,Not Applicable
,"2020 Week 51 ending December 19, 2020","2020/51","Malignant neoplasms","C00-C97",11774,Not Applicable,Not Applicable
,"2020 Week 52 ending December 26, 2020","2020/52","Malignant neoplasms","C00-C97",11683,Not Applicable,Not Applicable
,"2020 Week 53 ending January 02, 2021","2020/53","Malignant neoplasms","C00-C97",11680,Not Applicable,Not Applicable
,"2021 Week 01 ending January 09, 2021","2021/01","Malignant neoplasms","C00-C97",11322,Not Applicable,Not Applicable
,"2021 Week 02 ending January 16, 2021","2021/02","Malignant neoplasms","C00-C97",11837,Not Applicable,Not Applicable
,"2021 Week 03 ending January 23, 2021","2021/03","Malignant neoplasms","C00-C97",11566,Not Applicable,Not Applicable
,"2021 Week 04 ending January 30, 2021","2021/04","Malignant neoplasms","C00-C97",11681,Not Applicable,Not Applicable
,"2021 Week 05 ending February 06, 2021","2021/05","Malignant neoplasms","C00-C97",11595,Not Applicable,Not Applicable
,"2021 Week 06 ending February 13, 2021","2021/06","Malignant neoplasms","C00-C97",11470,Not Applicable,Not Applicable
,"2021 Week 07 ending February 20, 2021","2021/07","Malignant neoplasms","C00-C97",11404,Not Applicable,Not Applicable
,"2021 Week 08 ending February 27, 2021","2021/08","Malignant neoplasms","C00-C97",11599,Not Applicable,Not Applicable
,"2021 Week 09 ending March 06, 2021","2021/09","Malignant neoplasms","C00-C97",11430,Not Applicable,Not Applicable
,"2021 Week 10 ending March 13, 2021","2021/10","Malignant neoplasms","C00-C97",11403,Not Applicable,Not Applicable
,"2021 Week 11 ending March 20, 2021","2021/11","Malignant neoplasms","C00-C97",11288,Not Applicable,Not Applicable
,"2021 Week 12 ending March 27, 2021","2021/12","Malignant neoplasms","C00-C97",11411,Not Applicable,Not Applicable
,"2021 Week 13 ending April 03, 2021","2021/13","Malignant neoplasms","C00-C97",11083,Not Applicable,Not Applicable
,"2021 Week 14 ending April 10, 2021","2021/14","Malignant neoplasms","C00-C97",11561,Not Applicable,Not Applicable
,"2021 Week 15 ending April 17, 2021","2021/15","Malignant neoplasms","C00-C97",11381,Not Applicable,Not Applicable
,"2021 Week 16 ending April 24, 2021","2021/16","Malignant neoplasms","C00-C97",11568,Not Applicable,Not Applicable
,"2021 Week 17 ending May 01, 2021","2021/17","Malignant neoplasms","C00-C97",11599,Not Applicable,Not Applicable
,"2021 Week 18 ending May 08, 2021","2021/18","Malignant neoplasms","C00-C97",11346,Not Applicable,Not Applicable
,"2021 Week 19 ending May 15, 2021","2021/19","Malignant neoplasms","C00-C97",11525,Not Applicable,Not Applicable
,"2021 Week 20 ending May 22, 2021","2021/20","Malignant neoplasms","C00-C97",11578,Not Applicable,Not Applicable
,"2021 Week 21 ending May 29, 2021","2021/21","Malignant neoplasms","C00-C97",11263,Not Applicable,Not Applicable
,"2021 Week 22 ending June 05, 2021","2021/22","Malignant neoplasms","C00-C97",11484,Not Applicable,Not Applicable
,"2021 Week 23 ending June 12, 2021","2021/23","Malignant neoplasms","C00-C97",11343,Not Applicable,Not Applicable
,"2021 Week 24 ending June 19, 2021","2021/24","Malignant neoplasms","C00-C97",11506,Not Applicable,Not Applicable
,"2021 Week 25 ending June 26, 2021","2021/25","Malignant neoplasms","C00-C97",11488,Not Applicable,Not Applicable
,"2021 Week 26 ending July 03, 2021","2021/26","Malignant neoplasms","C00-C97",11566,Not Applicable,Not Applicable
,"2021 Week 27 ending July 10, 2021","2021/27","Malignant neoplasms","C00-C97",11490,Not Applicable,Not Applicable
,"2021 Week 28 ending July 17, 2021","2021/28","Malignant neoplasms","C00-C97",11566,Not Applicable,Not Applicable
,"2021 Week 29 ending July 24, 2021","2021/29","Malignant neoplasms","C00-C97",11526,Not Applicable,Not Applicable
,"2021 Week 30 ending July 31, 2021","2021/30","Malignant neoplasms","C00-C97",11640,Not Applicable,Not Applicable
,"2021 Week 31 ending August 07, 2021","2021/31","Malignant neoplasms","C00-C97",11777,Not Applicable,Not Applicable
,"2021 Week 32 ending August 14, 2021","2021/32","Malignant neoplasms","C00-C97",11980,Not Applicable,Not Applicable
,"2021 Week 33 ending August 21, 2021","2021/33","Malignant neoplasms","C00-C97",11866,Not Applicable,Not Applicable
,"2021 Week 34 ending August 28, 2021","2021/34","Malignant neoplasms","C00-C97",11765,Not Applicable,Not Applicable
,"2021 Week 35 ending September 04, 2021","2021/35","Malignant neoplasms","C00-C97",11714,Not Applicable,Not Applicable
,"2021 Week 36 ending September 11, 2021","2021/36","Malignant neoplasms","C00-C97",11511,Not Applicable,Not Applicable
,"2021 Week 37 ending September 18, 2021","2021/37","Malignant neoplasms","C00-C97",11821,Not Applicable,Not Applicable
,"2021 Week 38 ending September 25, 2021","2021/38","Malignant neoplasms","C00-C97",11727,Not Applicable,Not Applicable
,"2021 Week 39 ending October 02, 2021","2021/39","Malignant neoplasms","C00-C97",11884,Not Applicable,Not Applicable
,"2021 Week 40 ending October 09, 2021","2021/40","Malignant neoplasms","C00-C97",11726,Not Applicable,Not Applicable
,"2021 Week 41 ending October 16, 2021","2021/41","Malignant neoplasms","C00-C97",11686,Not Applicable,Not Applicable
,"2021 Week 42 ending October 23, 2021","2021/42","Malignant neoplasms","C00-C97",11735,Not Applicable,Not Applicable
,"2021 Week 43 ending October 30, 2021","2021/43","Malignant neoplasms","C00-C97",11735,Not Applicable,Not Applicable
,"2021 Week 44 ending November 06, 2021","2021/44","Malignant neoplasms","C00-C97",11699,Not Applicable,Not Applicable
,"2021 Week 45 ending November 13, 2021","2021/45","Malignant neoplasms","C00-C97",11904,Not Applicable,Not Applicable
,"2021 Week 46 ending November 20, 2021","2021/46","Malignant neoplasms","C00-C97",11639,Not Applicable,Not Applicable
,"2021 Week 47 ending November 27, 2021","2021/47","Malignant neoplasms","C00-C97",11701,Not Applicable,Not Applicable
,"2021 Week 48 ending December 04, 2021","2021/48","Malignant neoplasms","C00-C97",11845,Not Applicable,Not Applicable
,"2021 Week 49 ending December 11, 2021","2021/49","Malignant neoplasms","C00-C97",12084,Not Applicable,Not Applicable
,"2021 Week 50 ending December 18, 2021","2021/50","Malignant neoplasms","C00-C97",11652,Not Applicable,Not Applicable
,"2021 Week 51 ending December 25, 2021","2021/51","Malignant neoplasms","C00-C97",11836,Not Applicable,Not Applicable
,"2021 Week 52 ending January 01, 2022","2021/52","Malignant neoplasms","C00-C97",11655,Not Applicable,Not Applicable
,"2022 Week 01 ending January 08, 2022","2022/01","Malignant neoplasms","C00-C97",11954,Not Applicable,Not Applicable
,"2022 Week 02 ending January 15, 2022","2022/02","Malignant neoplasms","C00-C97",12272,Not Applicable,Not Applicable
,"2022 Week 03 ending January 22, 2022","2022/03","Malignant neoplasms","C00-C97",11963,Not Applicable,Not Applicable
,"2022 Week 04 ending January 29, 2022","2022/04","Malignant neoplasms","C00-C97",11901,Not Applicable,Not Applicable
,"2022 Week 05 ending February 05, 2022","2022/05","Malignant neoplasms","C00-C97",11755,Not Applicable,Not Applicable
,"2022 Week 06 ending February 12, 2022","2022/06","Malignant neoplasms","C00-C97",11837,Not Applicable,Not Applicable
,"2022 Week 07 ending February 19, 2022","2022/07","Malignant neoplasms","C00-C97",11651,Not Applicable,Not Applicable
,"2022 Week 08 ending February 26, 2022","2022/08","Malignant neoplasms","C00-C97",11250,Not Applicable,Not Applicable
,"2022 Week 09 ending March 05, 2022","2022/09","Malignant neoplasms","C00-C97",11538,Not Applicable,Not Applicable
,"2022 Week 10 ending March 12, 2022","2022/10","Malignant neoplasms","C00-C97",11505,Not Applicable,Not Applicable
,"2022 Week 11 ending March 19, 2022","2022/11","Malignant neoplasms","C00-C97",11559,Not Applicable,Not Applicable
,"2022 Week 12 ending March 26, 2022","2022/12","Malignant neoplasms","C00-C97",11412,Not Applicable,Not Applicable
,"2022 Week 13 ending April 02, 2022","2022/13","Malignant neoplasms","C00-C97",11488,Not Applicable,Not Applicable
,"2022 Week 14 ending April 09, 2022","2022/14","Malignant neoplasms","C00-C97",11439,Not Applicable,Not Applicable
,"2022 Week 15 ending April 16, 2022","2022/15","Malignant neoplasms","C00-C97",11468,Not Applicable,Not Applicable
,"2022 Week 16 ending April 23, 2022","2022/16","Malignant neoplasms","C00-C97",11301,Not Applicable,Not Applicable
,"2022 Week 17 ending April 30, 2022","2022/17","Malignant neoplasms","C00-C97",11396,Not Applicable,Not Applicable
,"2022 Week 18 ending May 07, 2022","2022/18","Malignant neoplasms","C00-C97",11244,Not Applicable,Not Applicable
,"2022 Week 19 ending May 14, 2022","2022/19","Malignant neoplasms","C00-C97",11596,Not Applicable,Not Applicable
,"2022 Week 20 ending May 21, 2022","2022/20","Malignant neoplasms","C00-C97",11650,Not Applicable,Not Applicable
,"2022 Week 21 ending May 28, 2022","2022/21","Malignant neoplasms","C00-C97",11343,Not Applicable,Not Applicable
,"2022 Week 22 ending June 04, 2022","2022/22","Malignant neoplasms","C00-C97",11312,Not Applicable,Not Applicable
,"2022 Week 23 ending June 11, 2022","2022/23","Malignant neoplasms","C00-C97",11620,Not Applicable,Not Applicable
,"2022 Week 24 ending June 18, 2022","2022/24","Malignant neoplasms","C00-C97",11173,Not Applicable,Not Applicable
,"2022 Week 25 ending June 25, 2022","2022/25","Malignant neoplasms","C00-C97",11549,Not Applicable,Not Applicable
,"2022 Week 26 ending July 02, 2022","2022/26","Malignant neoplasms","C00-C97",11632,Not Applicable,Not Applicable
,"2022 Week 27 ending July 09, 2022","2022/27","Malignant neoplasms","C00-C97",11393,Not Applicable,Not Applicable
,"2022 Week 28 ending July 16, 2022","2022/28","Malignant neoplasms","C00-C97",11434,Not Applicable,Not Applicable
,"2022 Week 29 ending July 23, 2022","2022/29","Malignant neoplasms","C00-C97",11681,Not Applicable,Not Applicable
